code,city,region,pop2025,pop2050,foreign_2024,foreign_share_pct,tax_2023_thousand,tax_estimated,tax_per_capita_yen,tax_2050_simple_thousand,representative_companies,special_industry,agriculture_products,famous_people
21201,岐阜市,岐阜圏域,389011,325128,12213,3.1394999113135618,66561182,False,171103.5986128927,55630571,十六フィナンシャルグループ、トーカイ、ヒマラヤ、文溪堂,県都として商業・金融・医療・教育・行政機能が集中。アパレル、機械、食品、印刷・出版などの産業がある。,枝豆、いちご、富有柿、ほうれんそうなどの都市近郊農業。長良川鵜飼と金華山が主要観光資源。,高橋尚子（陸上競技）、伊藤英明（俳優）、熊田曜子（タレント）、堀未央奈（俳優・タレント）
21202,大垣市,西濃圏域,154474,130141,6701,4.337946838950244,29159450,False,188766.07066561363,24566205,イビデン、セイノーホールディングス、大垣共立銀行、太平洋工業,電子部品、物流、金融、自動車部品、情報産業が集積する西濃地域の中心都市。,米、梨、富有柿、いちごなど。豊富な地下水を生かした食品・飲料産業も特徴。,棚橋弘至（プロレスラー）、細川茂樹（俳優）、大今良時（漫画家）、早野宏史（サッカー指導者）
21203,高山市,飛騨圏域,79355,53862,1413,1.7806061369793964,14382392,False,181241.15682691702,9762011,飛騨産業、濃飛乗合自動車、舩坂酒造店、平田酒造場,観光、木工家具、酒造、食品加工が地域経済の柱。古い町並みと高山祭には国内外から観光客が訪れる。,飛騨牛、夏秋トマト、ほうれんそう、米、りんご。森林資源を生かした木工・家具も盛ん。,清水ミチコ（タレント）、米澤穂信（小説家）、荒垣秀雄（ジャーナリスト）
21204,多治見市,東濃圏域,101795,72336,2878,2.827250847291124,15545721,False,152715.95854413282,11046862,バローホールディングス、TYK、美濃焼・タイル関連企業,美濃焼、陶磁器、耐火物、タイル関連産業が集積。名古屋圏への通勤・商業都市でもある。,陶磁器文化が最大の特色。農業では米、野菜、果樹などを生産。,鈴木ちなみ（タレント）、神奈月（ものまねタレント）、加藤孝造（陶芸家・多治見ゆかり）
21205,関市,中濃圏域,80844,59419,2973,3.677452872198308,13554639,False,167664.1309188066,9962435,貝印関連事業所、フェザー安全剃刀関連事業所、ニッケン刃物,世界的な刃物産地で、金属加工、自動車部品、機械産業の裾野が広い。,円空さといも、夏秋トマト、ゆず、しいたけ、鮎など。,LiSA（歌手）、青木沙弥佳（陸上競技）、円空（僧・仏師、関ゆかり）
21206,中津川市,東濃圏域,71055,55136,2620,3.6872844979241433,11246445,False,158278.02406586448,8726817,美濃工業、新杵堂、川上屋,自動車部品・機械、菓子・食品、木材産業が中心。リニア中央新幹線関連の地域変化も注目される。,栗、栗きんとん、茶、夏秋トマト、飛騨牛、木材。馬籠宿や付知峡も主要資源。,前田青邨（日本画家）、島崎藤村（作家・馬籠ゆかり）、恵那櫻徹（大相撲力士）
21207,美濃市,中濃圏域,17590,11343,687,3.905628197839681,3146687,False,178890.67652075042,2029157,丸重製紙企業グループ、美濃和紙関連事業者,本美濃紙・美濃和紙、紙加工、印刷、観光、林業が中心。,和紙原料、米、野菜、しいたけ。うだつの上がる町並みが観光の核。,野口五郎（歌手）、武藤嘉文（政治家）
21208,瑞浪市,東濃圏域,35064,25047,1395,3.978439425051335,5365592,False,153022.8154232261,3832762,中工精機、陶磁器・耐火物関連工場,美濃焼、陶磁器、耐火物、機械製造が中心。化石・地質資源を活用した教育観光も特徴。,瑞浪ボーノポーク、米、野菜。陶磁器とゴルフ場も地域経済を支える。,加藤孝造（陶芸家）、市之倉さかづき美術館関係陶芸家（陶芸文化）
21209,羽島市,岐阜圏域,64464,51806,1787,2.772089848597667,9539367,False,147979.7561429635,7666239,岐阜羽島インター周辺の物流企業、繊維・機械関連事業所,東海道新幹線、名神高速道路を生かした物流・交流拠点。繊維、機械、倉庫・物流業が立地。,れんこん、米、野菜、花き。竹鼻別院の藤など観光資源もある。,山田守（建築家）、円空（僧・仏師、羽島ゆかり）
21210,恵那市,東濃圏域,43844,28611,1323,3.0175166499406987,7343100,False,167482.43773378342,4791840,恵那川上屋、銀の森コーポレーション、明智セラミックス,自動車・機械、窯業、菓子・食品、観光が共存する東濃地域の産業都市。,栗、寒天、夏秋トマト、米、山岡細寒天。恵那峡、岩村城下町が代表的。,下田歌子（教育者）、佐藤一斎（儒学者）、荻野真（漫画家）
21211,美濃加茂市,中濃圏域,56872,53983,6388,11.232240821493882,9218814,False,162097.58756505838,8750514,ヤマザキマザック美濃加茂製作所、若尾製菓、モンテール美濃加茂工場,工作機械、自動車・機械、食品、物流の比重が高い。外国人労働者が製造業を支える面も大きい。,梨、堂上蜂屋柿、米、野菜。中山道太田宿が歴史資源。,坪内逍遥（文学者）、北川悦吏子（脚本家）、渡辺猛之（政治家）
21212,土岐市,東濃圏域,51044,37104,2355,4.6136666405454125,8720646,False,170845.66256562967,6339057,TOTOマテリア土岐工場、土岐プレミアム・アウトレット、陶磁器関連企業,美濃焼、陶磁器、タイル、耐火物の産地。高速道路網と大型商業施設による交流機能も大きい。,米、野菜、果樹。織部など陶芸文化が最大の特色。,田中邦衛（俳優）、塚本連平（映画監督）
21213,各務原市,岐阜圏域,141226,119096,4275,3.027063005395607,23291211,False,164921.5512724286,19641497,川崎重工業岐阜工場、岐阜車体工業、天龍ホールディングス,航空宇宙、自動車、機械産業が集積。航空自衛隊岐阜基地と航空宇宙博物館を持つ。,各務原にんじん、米、野菜。各務原キムチなど地域ブランドもある。,上原彩子（ピアニスト）、山口晶（歌手）、航空宇宙分野の技術者（地域ゆかり）
21214,可児市,中濃圏域,97210,83832,9620,9.896101224153893,15118251,False,155521.56156773993,13037684,カヤバ岐阜南工場、大王製紙可児工場、自動車関連工場,自動車部品、機械、製紙、窯業が集積する一方、名古屋圏の住宅都市としての性格も強い。,里芋、大豆、米、バラ。ぎふワールド・ローズガーデンが主要観光施設。,冨田洋之（体操競技・可児ゆかり）、森蘭丸（戦国武将・兼山ゆかり）、明智光秀（戦国武将・可児地域ゆかり）
21215,山県市,岐阜圏域,23348,13877,893,3.824738735651876,3360000,True,143909.54257323968,1997033,水生活製作所、ミズタニバルブ、水栓・樹脂関連企業,水栓器具、プラスチック、木材、機械などの製造業が特徴。,利平栗、柿、米、野菜、林業。清流・山林を生かしたアウトドア資源を持つ。,早矢仕有的（実業家・丸善創業者）、仙石秀久（戦国武将・美濃ゆかり）
21216,瑞穂市,岐阜圏域,56671,53347,2921,5.1543117291030685,7370534,False,130058.30142400875,6938220,国道21号沿線の物流・製造企業、自動車部品関連事業所,岐阜都市圏の住宅都市で、物流、卸売、小売、自動車部品などが立地。,富有柿、梨、米、野菜などの都市近郊農業。,大友玲子（ジャズ歌手）、大平由香理（日本画家）、森和之（政治家）
